metab1, metab2, pcor, pval, adj pval
"Cyclops sp. ","Keratella cochlearis cochlearis","-0.362","0.0632","0.349"
"Nauplii Cyclopoida","Keratella cochlearis cochlearis","0.188","0.349","0.759"
"Nauplii Calanoida","Keratella cochlearis cochlearis","-0.0969","0.631","0.908"
"Thermocyclops oithonoides","Keratella cochlearis cochlearis","-0.232","0.244","0.686"
"Eurytemora lacustris","Keratella cochlearis cochlearis","0.0504","0.803","0.976"
"Anureopsis fissa","Keratella cochlearis cochlearis","0.0213","0.916","0.997"
"Ascomorpha saltans","Keratella cochlearis cochlearis","-0.422","0.0283","0.221"
"Asplanchna priodonta","Keratella cochlearis cochlearis","0.0702","0.728","0.959"
"Brachionus angularis","Keratella cochlearis cochlearis","-0.359","0.0658","0.349"
"Brachionus calyciflorus calyciflorus","Keratella cochlearis cochlearis","-0.0981","0.626","0.908"
"Brachionus calyciflorus f.amphiceros","Keratella cochlearis cochlearis","-0.0918","0.649","0.917"
"Brachionus calyciflorus spinosus","Keratella cochlearis cochlearis","-0.000472","0.998","0.998"
"Brachionus urceolaris","Keratella cochlearis cochlearis","-0.323","0.1","0.438"
"Brachionus calyciflorus f.anureiformis","Keratella cochlearis cochlearis","0.499","0.00802","0.104"
"Filinia longiseta","Keratella cochlearis cochlearis","-0.14","0.487","0.85"
"Cyanobacteria","Keratella cochlearis f.tecta","0.207","0.301","0.741"
"Chlorophyceae","Keratella cochlearis f.tecta","-0.0774","0.701","0.953"
"Euglenophyceae","Keratella cochlearis f.tecta","-0.372","0.056","0.331"
"Diatomophyceae","Keratella cochlearis f.tecta","0.0522","0.796","0.976"
"Flagellata   ","Keratella cochlearis f.tecta","-0.113","0.575","0.9"
"Dinoflagellata ","Keratella cochlearis f.tecta","-0.0511","0.8","0.976"
"Cryptophytes","Keratella cochlearis f.tecta","0.176","0.381","0.772"
"picophytoplankton","Keratella cochlearis f.tecta","0.0123","0.952","0.998"
"Bosmina longirostris","Keratella cochlearis f.tecta","-0.174","0.385","0.774"
"Ceriodaphnia sp.","Keratella cochlearis f.tecta","0.0804","0.69","0.941"
"Diaphanosoma brachyurum ","Keratella cochlearis f.tecta","-0.284","0.151","0.535"
"Leptodora kindtii","Keratella cochlearis f.tecta","0.0206","0.919","0.998"
"Acartia longiremis","Keratella cochlearis f.tecta","-0.105","0.603","0.9"
"Acartia tonsa","Keratella cochlearis f.tecta","-0.343","0.0796","0.398"
"Eurytemora affinis","Keratella cochlearis f.tecta","-0.068","0.736","0.96"
"Cyclops sp. ","Keratella cochlearis f.tecta","0.292","0.14","0.517"
"Nauplii Cyclopoida","Keratella cochlearis f.tecta","-0.106","0.6","0.9"
"Nauplii Calanoida","Keratella cochlearis f.tecta","0.51","0.00663","0.0908"
"Thermocyclops oithonoides","Keratella cochlearis f.tecta","0.0248","0.902","0.995"
"Eurytemora lacustris","Keratella cochlearis f.tecta","-0.0927","0.646","0.916"
"Anureopsis fissa","Keratella cochlearis f.tecta","-0.0805","0.69","0.941"
"Ascomorpha saltans","Keratella cochlearis f.tecta","0.361","0.0643","0.349"
"Asplanchna priodonta","Keratella cochlearis f.tecta","0.324","0.0992","0.437"
"Brachionus angularis","Keratella cochlearis f.tecta","0.227","0.254","0.691"
"Brachionus calyciflorus calyciflorus","Keratella cochlearis f.tecta","0.127","0.529","0.875"
"Brachionus calyciflorus f.amphiceros","Keratella cochlearis f.tecta","0.14","0.487","0.85"
"Brachionus calyciflorus spinosus","Keratella cochlearis f.tecta","0.0399","0.843","0.979"
"Brachionus urceolaris","Keratella cochlearis f.tecta","-0.124","0.538","0.879"
"Brachionus calyciflorus f.anureiformis","Keratella cochlearis f.tecta","-0.432","0.0244","0.201"
"Filinia longiseta","Keratella cochlearis f.tecta","-0.14","0.485","0.85"
"Keratella cochlearis cochlearis","Keratella cochlearis f.tecta","0.691","6.64e-05","0.00417"
"Cyanobacteria","Keratella quadrata","-0.191","0.34","0.753"
"Chlorophyceae","Keratella quadrata","0.109","0.587","0.9"
"Euglenophyceae","Keratella quadrata","-0.176","0.379","0.772"
"Diatomophyceae","Keratella quadrata","0.0837","0.678","0.941"
"Flagellata   ","Keratella quadrata","-0.138","0.491","0.852"
"Dinoflagellata ","Keratella quadrata","0.106","0.598","0.9"
"Cryptophytes","Keratella quadrata","0.276","0.164","0.561"
"picophytoplankton","Keratella quadrata","-0.104","0.606","0.9"
"Bosmina longirostris","Keratella quadrata","-0.295","0.136","0.517"
"Ceriodaphnia sp.","Keratella quadrata","-0.0219","0.914","0.997"
"Diaphanosoma brachyurum ","Keratella quadrata","-0.486","0.0102","0.109"
"Leptodora kindtii","Keratella quadrata","0.0752","0.709","0.955"
"Acartia longiremis","Keratella quadrata","-0.388","0.0456","0.297"
"Acartia tonsa","Keratella quadrata","0.536","0.00396","0.0686"
"Eurytemora affinis","Keratella quadrata","-0.0826","0.682","0.941"
"Cyclops sp. ","Keratella quadrata","0.309","0.117","0.481"
"Nauplii Cyclopoida","Keratella quadrata","0.681","9.11e-05","0.00508"
"Nauplii Calanoida","Keratella quadrata","0.0448","0.824","0.976"
"Thermocyclops oithonoides","Keratella quadrata","0.0291","0.885","0.993"
"Eurytemora lacustris","Keratella quadrata","0.387","0.046","0.297"
"Anureopsis fissa","Keratella quadrata","0.342","0.0806","0.398"
"Ascomorpha saltans","Keratella quadrata","-0.227","0.255","0.692"
"Asplanchna priodonta","Keratella quadrata","-0.39","0.0441","0.292"
"Brachionus angularis","Keratella quadrata","-0.219","0.273","0.713"
"Brachionus calyciflorus calyciflorus","Keratella quadrata","-0.676","0.000109","0.00565"
"Brachionus calyciflorus f.amphiceros","Keratella quadrata","0.335","0.0872","0.417"
"Brachionus calyciflorus spinosus","Keratella quadrata","-0.0519","0.797","0.976"
"Brachionus urceolaris","Keratella quadrata","0.476","0.012","0.122"
"Brachionus calyciflorus f.anureiformis","Keratella quadrata","-0.0456","0.821","0.976"
"Filinia longiseta","Keratella quadrata","0.755","5.43e-06","0.000529"
"Keratella cochlearis cochlearis","Keratella quadrata","-0.0411","0.839","0.979"
"Keratella cochlearis f.tecta","Keratella quadrata","0.0864","0.668","0.931"
"Cyanobacteria","Pedalia mira","0.362","0.0633","0.349"
"Chlorophyceae","Pedalia mira","-0.201","0.314","0.741"
"Euglenophyceae","Pedalia mira","0.349","0.0743","0.384"
"Diatomophyceae","Pedalia mira","0.0121","0.952","0.998"
"Flagellata   ","Pedalia mira","0.00106","0.996","0.998"
"Dinoflagellata ","Pedalia mira","0.0551","0.785","0.976"
"Cryptophytes","Pedalia mira","-0.463","0.015","0.143"
"picophytoplankton","Pedalia mira","0.0175","0.931","0.998"
"Bosmina longirostris","Pedalia mira","0.0646","0.749","0.965"
"Ceriodaphnia sp.","Pedalia mira","-0.181","0.365","0.772"
"Diaphanosoma brachyurum ","Pedalia mira","0.359","0.0656","0.349"
"Leptodora kindtii","Pedalia mira","-0.0199","0.922","0.998"
"Acartia longiremis","Pedalia mira","0.373","0.0551","0.328"
"Acartia tonsa","Pedalia mira","-0.394","0.0418","0.285"
"Eurytemora affinis","Pedalia mira","0.447","0.0195","0.171"
"Cyclops sp. ","Pedalia mira","-0.162","0.42","0.806"
"Nauplii Cyclopoida","Pedalia mira","-0.11","0.585","0.9"
"Nauplii Calanoida","Pedalia mira","0.00382","0.985","0.998"
"Thermocyclops oithonoides","Pedalia mira","-0.492","0.00912","0.108"
"Eurytemora lacustris","Pedalia mira","-0.348","0.0752","0.384"
"Anureopsis fissa","Pedalia mira","-0.207","0.301","0.741"
"Ascomorpha saltans","Pedalia mira","0.111","0.582","0.9"
"Asplanchna priodonta","Pedalia mira","0.562","0.00228","0.0494"
"Brachionus angularis","Pedalia mira","-0.061","0.762","0.966"
"Brachionus calyciflorus calyciflorus","Pedalia mira","0.738","1.11e-05","0.00096"
"Brachionus calyciflorus f.amphiceros","Pedalia mira","-0.124","0.537","0.879"
"Brachionus calyciflorus spinosus","Pedalia mira","0.049","0.808","0.976"
"Brachionus urceolaris","Pedalia mira","-0.851","1.87e-08","2.08e-06"
"Brachionus calyciflorus f.anureiformis","Pedalia mira","0.0654","0.746","0.965"
"Filinia longiseta","Pedalia mira","-0.628","0.000447","0.0162"
"Keratella cochlearis cochlearis","Pedalia mira","-0.221","0.269","0.706"
"Keratella cochlearis f.tecta","Pedalia mira","-0.132","0.51","0.859"
"Keratella quadrata","Pedalia mira","0.672","0.000125","0.00573"
"Cyanobacteria","Polyarthra vulgaris","-0.391","0.0438","0.292"
"Chlorophyceae","Polyarthra vulgaris","0.254","0.2","0.64"
"Euglenophyceae","Polyarthra vulgaris","-0.157","0.435","0.816"
"Diatomophyceae","Polyarthra vulgaris","0.166","0.408","0.794"
"Flagellata   ","Polyarthra vulgaris","-0.163","0.416","0.803"
"Dinoflagellata ","Polyarthra vulgaris","-0.0535","0.791","0.976"
"Cryptophytes","Polyarthra vulgaris","0.228","0.253","0.69"
"picophytoplankton","Polyarthra vulgaris","0.111","0.581","0.9"
"Bosmina longirostris","Polyarthra vulgaris","-0.109","0.59","0.9"
"Ceriodaphnia sp.","Polyarthra vulgaris","0.262","0.187","0.612"
"Diaphanosoma brachyurum ","Polyarthra vulgaris","-0.628","0.000456","0.0162"
"Leptodora kindtii","Polyarthra vulgaris","-0.000634","0.997","0.998"
"Acartia longiremis","Polyarthra vulgaris","-0.331","0.0913","0.427"
"Acartia tonsa","Polyarthra vulgaris","0.491","0.00932","0.108"
"Eurytemora affinis","Polyarthra vulgaris","-0.325","0.0976","0.435"
"Cyclops sp. ","Polyarthra vulgaris","0.336","0.0861","0.417"
"Nauplii Cyclopoida","Polyarthra vulgaris","0.431","0.0249","0.202"
"Nauplii Calanoida","Polyarthra vulgaris","0.178","0.374","0.772"
"Thermocyclops oithonoides","Polyarthra vulgaris","0.0386","0.848","0.982"
"Eurytemora lacustris","Polyarthra vulgaris","0.307","0.12","0.489"
"Anureopsis fissa","Polyarthra vulgaris","0.197","0.324","0.75"
"Ascomorpha saltans","Polyarthra vulgaris","-0.2","0.316","0.741"
"Asplanchna priodonta","Polyarthra vulgaris","-0.62","0.000556","0.0181"
"Brachionus angularis","Polyarthra vulgaris","0.103","0.608","0.901"
"Brachionus calyciflorus calyciflorus","Polyarthra vulgaris","-0.339","0.0835","0.407"
"Brachionus calyciflorus f.amphiceros","Polyarthra vulgaris","0.177","0.377","0.772"
"Brachionus calyciflorus spinosus","Polyarthra vulgaris","0.00371","0.985","0.998"
"Brachionus urceolaris","Polyarthra vulgaris","0.464","0.0148","0.143"
"Brachionus calyciflorus f.anureiformis","Polyarthra vulgaris","-0.246","0.217","0.666"
"Filinia longiseta","Polyarthra vulgaris","0.504","0.00735","0.0989"
"Keratella cochlearis cochlearis","Polyarthra vulgaris","0.173","0.388","0.778"
"Keratella cochlearis f.tecta","Polyarthra vulgaris","0.0655","0.745","0.965"
"Keratella quadrata","Polyarthra vulgaris","-0.559","0.00242","0.0508"
"Pedalia mira","Polyarthra vulgaris","0.491","0.00939","0.108"
"Cyanobacteria","Polyarthra platyptera","0.05","0.804","0.976"
"Chlorophyceae","Polyarthra platyptera","-0.179","0.372","0.772"
"Euglenophyceae","Polyarthra platyptera","0.169","0.398","0.784"
"Diatomophyceae","Polyarthra platyptera","-0.0559","0.782","0.976"
"Flagellata   ","Polyarthra platyptera","0.35","0.0732","0.383"
"Dinoflagellata ","Polyarthra platyptera","0.181","0.366","0.772"
"Cryptophytes","Polyarthra platyptera","-0.318","0.106","0.451"
"picophytoplankton","Polyarthra platyptera","-0.0336","0.868","0.991"
"Bosmina longirostris","Polyarthra platyptera","0.0124","0.951","0.998"
"Ceriodaphnia sp.","Polyarthra platyptera","-0.494","0.00883","0.108"
"Diaphanosoma brachyurum ","Polyarthra platyptera","0.119","0.556","0.892"
"Leptodora kindtii","Polyarthra platyptera","-0.0951","0.637","0.909"
"Acartia longiremis","Polyarthra platyptera","0.284","0.151","0.535"
"Acartia tonsa","Polyarthra platyptera","0.564","0.00219","0.0487"
"Eurytemora affinis","Polyarthra platyptera","-0.126","0.533","0.879"
"Cyclops sp. ","Polyarthra platyptera","0.305","0.122","0.492"
"Nauplii Cyclopoida","Polyarthra platyptera","0.251","0.206","0.65"
"Nauplii Calanoida","Polyarthra platyptera","-0.594","0.00108","0.028"
"Thermocyclops oithonoides","Polyarthra platyptera","-0.333","0.09","0.425"
"Eurytemora lacustris","Polyarthra platyptera","-0.118","0.557","0.892"
"Anureopsis fissa","Polyarthra platyptera","0.0887","0.66","0.928"
"Ascomorpha saltans","Polyarthra platyptera","-0.19","0.342","0.753"
"Asplanchna priodonta","Polyarthra platyptera","0.098","0.627","0.908"
"Brachionus angularis","Polyarthra platyptera","-0.224","0.262","0.702"
"Brachionus calyciflorus calyciflorus","Polyarthra platyptera","0.0721","0.721","0.956"
"Brachionus calyciflorus f.amphiceros","Polyarthra platyptera","0.00257","0.99","0.998"
"Brachionus calyciflorus spinosus","Polyarthra platyptera","0.0109","0.957","0.998"
"Brachionus urceolaris","Polyarthra platyptera","0.103","0.609","0.901"
"Brachionus calyciflorus f.anureiformis","Polyarthra platyptera","0.0458","0.82","0.976"
"Filinia longiseta","Polyarthra platyptera","-0.0427","0.832","0.979"
"Keratella cochlearis cochlearis","Polyarthra platyptera","-0.286","0.148","0.535"
"Keratella cochlearis f.tecta","Polyarthra platyptera","0.33","0.0933","0.43"
"Keratella quadrata","Polyarthra platyptera","-0.0235","0.908","0.996"
"Pedalia mira","Polyarthra platyptera","-0.106","0.599","0.9"
"Polyarthra vulgaris","Polyarthra platyptera","0.348","0.0754","0.384"
"Cyanobacteria","Pompholyx sp.","-0.296","0.134","0.517"
"Chlorophyceae","Pompholyx sp.","0.0254","0.9","0.995"
"Euglenophyceae","Pompholyx sp.","0.291","0.141","0.518"
"Diatomophyceae","Pompholyx sp.","0.318","0.106","0.451"
"Flagellata   ","Pompholyx sp.","0.0745","0.712","0.955"
"Dinoflagellata ","Pompholyx sp.","0.27","0.173","0.579"
"Cryptophytes","Pompholyx sp.","-0.408","0.0347","0.253"
"picophytoplankton","Pompholyx sp.","-0.00151","0.994","0.998"
"Bosmina longirostris","Pompholyx sp.","-0.165","0.412","0.797"
"Ceriodaphnia sp.","Pompholyx sp.","-0.0232","0.909","0.996"
"Diaphanosoma brachyurum ","Pompholyx sp.","0.051","0.801","0.976"
"Leptodora kindtii","Pompholyx sp.","-0.194","0.332","0.753"
"Acartia longiremis","Pompholyx sp.","0.191","0.341","0.753"
"Acartia tonsa","Pompholyx sp.","0.14","0.486","0.85"
"Eurytemora affinis","Pompholyx sp.","-0.136","0.5","0.857"
"Cyclops sp. ","Pompholyx sp.","0.0687","0.733","0.96"
"Nauplii Cyclopoida","Pompholyx sp.","0.16","0.426","0.811"
"Nauplii Calanoida","Pompholyx sp.","-0.104","0.605","0.9"
"Thermocyclops oithonoides","Pompholyx sp.","-0.273","0.169","0.572"
"Eurytemora lacustris","Pompholyx sp.","-0.106","0.599","0.9"
"Anureopsis fissa","Pompholyx sp.","0.217","0.276","0.718"
"Ascomorpha saltans","Pompholyx sp.","-0.249","0.21","0.656"
"Asplanchna priodonta","Pompholyx sp.","0.284","0.151","0.535"
"Brachionus angularis","Pompholyx sp.","-0.146","0.467","0.843"
"Brachionus calyciflorus calyciflorus","Pompholyx sp.","0.03","0.882","0.993"
"Brachionus calyciflorus f.amphiceros","Pompholyx sp.","0.171","0.394","0.781"
"Brachionus calyciflorus spinosus","Pompholyx sp.","-0.0763","0.705","0.955"
"Brachionus urceolaris","Pompholyx sp.","-0.00542","0.979","0.998"
"Brachionus calyciflorus f.anureiformis","Pompholyx sp.","-0.236","0.235","0.676"
"Filinia longiseta","Pompholyx sp.","-0.23","0.249","0.689"
"Keratella cochlearis cochlearis","Pompholyx sp.","-0.0959","0.634","0.908"
"Keratella cochlearis f.tecta","Pompholyx sp.","0.0963","0.633","0.908"
"Keratella quadrata","Pompholyx sp.","0.0722","0.721","0.956"
"Pedalia mira","Pompholyx sp.","-0.114","0.572","0.9"
"Polyarthra vulgaris","Pompholyx sp.","0.000604","0.998","0.998"
"Polyarthra platyptera","Pompholyx sp.","-0.177","0.378","0.772"
"Cyanobacteria","Synchaeta sp.","-0.0284","0.888","0.993"
"Chlorophyceae","Synchaeta sp.","0.279","0.158","0.549"
"Euglenophyceae","Synchaeta sp.","0.138","0.494","0.852"
"Diatomophyceae","Synchaeta sp.","0.447","0.0194","0.171"
"Flagellata   ","Synchaeta sp.","-0.167","0.405","0.79"
"Dinoflagellata ","Synchaeta sp.","0.53","0.00442","0.0736"
"Cryptophytes","Synchaeta sp.","-0.162","0.419","0.806"
"picophytoplankton","Synchaeta sp.","-0.171","0.393","0.781"
"Bosmina longirostris","Synchaeta sp.","-0.909","5.27e-11","1.37e-08"
"Ceriodaphnia sp.","Synchaeta sp.","0.0394","0.845","0.98"
"Diaphanosoma brachyurum ","Synchaeta sp.","-0.204","0.307","0.741"
"Leptodora kindtii","Synchaeta sp.","0.0401","0.843","0.979"
"Acartia longiremis","Synchaeta sp.","-0.18","0.369","0.772"
"Acartia tonsa","Synchaeta sp.","0.185","0.355","0.759"
"Eurytemora affinis","Synchaeta sp.","0.03","0.882","0.993"
"Cyclops sp. ","Synchaeta sp.","0.117","0.561","0.893"
"Nauplii Cyclopoida","Synchaeta sp.","0.326","0.0965","0.435"
"Nauplii Calanoida","Synchaeta sp.","0.0603","0.765","0.966"
"Thermocyclops oithonoides","Synchaeta sp.","-0.0743","0.713","0.955"
"Eurytemora lacustris","Synchaeta sp.","0.481","0.011","0.115"
"Anureopsis fissa","Synchaeta sp.","0.877","1.89e-09","2.95e-07"
"Ascomorpha saltans","Synchaeta sp.","-0.0596","0.768","0.966"
"Asplanchna priodonta","Synchaeta sp.","0.177","0.376","0.772"
"Brachionus angularis","Synchaeta sp.","-0.689","6.95e-05","0.00417"
"Brachionus calyciflorus calyciflorus","Synchaeta sp.","-0.134","0.504","0.859"
"Brachionus calyciflorus f.amphiceros","Synchaeta sp.","0.954","1.51e-14","5.91e-12"
"Brachionus calyciflorus spinosus","Synchaeta sp.","0.00484","0.981","0.998"
"Brachionus urceolaris","Synchaeta sp.","0.082","0.684","0.941"
"Brachionus calyciflorus f.anureiformis","Synchaeta sp.","-0.367","0.0594","0.345"
"Filinia longiseta","Synchaeta sp.","0.261","0.188","0.612"
"Keratella cochlearis cochlearis","Synchaeta sp.","0.016","0.937","0.998"
"Keratella cochlearis f.tecta","Synchaeta sp.","-0.0697","0.73","0.959"
"Keratella quadrata","Synchaeta sp.","-0.34","0.0828","0.406"
"Pedalia mira","Synchaeta sp.","0.116","0.565","0.894"
"Polyarthra vulgaris","Synchaeta sp.","-0.119","0.553","0.891"
"Polyarthra platyptera","Synchaeta sp.","-0.0476","0.813","0.976"
"Pompholyx sp.","Synchaeta sp.","-0.127","0.528","0.875"
"Cyanobacteria","Trichocerca pusilla","0.295","0.135","0.517"
"Chlorophyceae","Trichocerca pusilla","-0.36","0.0649","0.349"
"Euglenophyceae","Trichocerca pusilla","0.317","0.107","0.452"
"Diatomophyceae","Trichocerca pusilla","-0.0981","0.626","0.908"
"Flagellata   ","Trichocerca pusilla","0.515","0.00595","0.0844"
"Dinoflagellata ","Trichocerca pusilla","0.201","0.316","0.741"
"Cryptophytes","Trichocerca pusilla","-0.492","0.00917","0.108"
"picophytoplankton","Trichocerca pusilla","-0.17","0.398","0.784"
"Bosmina longirostris","Trichocerca pusilla","0.101","0.616","0.903"
"Ceriodaphnia sp.","Trichocerca pusilla","-0.423","0.0278","0.22"
"Diaphanosoma brachyurum ","Trichocerca pusilla","0.342","0.0806","0.398"
"Leptodora kindtii","Trichocerca pusilla","-0.104","0.606","0.9"
"Acartia longiremis","Trichocerca pusilla","0.489","0.00959","0.108"
"Acartia tonsa","Trichocerca pusilla","0.00576","0.977","0.998"
"Eurytemora affinis","Trichocerca pusilla","-0.175","0.382","0.772"
"Cyclops sp. ","Trichocerca pusilla","0.201","0.314","0.741"
"Nauplii Cyclopoida","Trichocerca pusilla","0.0563","0.78","0.976"
"Nauplii Calanoida","Trichocerca pusilla","-0.229","0.251","0.689"
"Thermocyclops oithonoides","Trichocerca pusilla","-0.393","0.0423","0.285"
"Eurytemora lacustris","Trichocerca pusilla","-0.346","0.077","0.39"
"Anureopsis fissa","Trichocerca pusilla","-0.136","0.499","0.857"
"Ascomorpha saltans","Trichocerca pusilla","-0.105","0.604","0.9"
"Asplanchna priodonta","Trichocerca pusilla","0.545","0.00326","0.0592"
"Brachionus angularis","Trichocerca pusilla","-0.14","0.487","0.85"
"Brachionus calyciflorus calyciflorus","Trichocerca pusilla","0.233","0.243","0.686"
"Brachionus calyciflorus f.amphiceros","Trichocerca pusilla","-0.14","0.487","0.85"
"Brachionus calyciflorus spinosus","Trichocerca pusilla","0.0312","0.877","0.993"
"Brachionus urceolaris","Trichocerca pusilla","-0.156","0.438","0.819"
"Brachionus calyciflorus f.anureiformis","Trichocerca pusilla","0.00501","0.98","0.998"
"Filinia longiseta","Trichocerca pusilla","-0.467","0.014","0.138"
"Keratella cochlearis cochlearis","Trichocerca pusilla","-0.25","0.208","0.655"
"Keratella cochlearis f.tecta","Trichocerca pusilla","0.0186","0.927","0.998"
"Keratella quadrata","Trichocerca pusilla","0.315","0.11","0.458"
"Pedalia mira","Trichocerca pusilla","-0.379","0.0513","0.313"
"Polyarthra vulgaris","Trichocerca pusilla","0.647","0.000264","0.0114"
"Polyarthra platyptera","Trichocerca pusilla","-0.635","0.000372","0.0153"
"Pompholyx sp.","Trichocerca pusilla","-0.206","0.302","0.741"
"Synchaeta sp.","Trichocerca pusilla","0.108","0.593","0.9"
"Cyanobacteria","Trichocerca similis","0.272","0.169","0.572"
"Chlorophyceae","Trichocerca similis","-0.0036","0.986","0.998"
"Euglenophyceae","Trichocerca similis","0.139","0.488","0.85"
"Diatomophyceae","Trichocerca similis","0.0338","0.867","0.991"
"Flagellata   ","Trichocerca similis","-0.4","0.0389","0.271"
"Dinoflagellata ","Trichocerca similis","-0.0969","0.631","0.908"
"Cryptophytes","Trichocerca similis","-0.148","0.46","0.839"
"picophytoplankton","Trichocerca similis","0.121","0.549","0.887"
"Bosmina longirostris","Trichocerca similis","0.0644","0.75","0.965"
"Ceriodaphnia sp.","Trichocerca similis","0.419","0.0296","0.226"
"Diaphanosoma brachyurum ","Trichocerca similis","0.36","0.0647","0.349"
"Leptodora kindtii","Trichocerca similis","0.0962","0.633","0.908"
"Acartia longiremis","Trichocerca similis","0.316","0.109","0.456"
"Acartia tonsa","Trichocerca similis","-0.69","6.88e-05","0.00417"
"Eurytemora affinis","Trichocerca similis","0.567","0.00202","0.0464"
"Cyclops sp. ","Trichocerca similis","-0.526","0.00486","0.0759"
"Nauplii Cyclopoida","Trichocerca similis","-0.276","0.163","0.561"
"Nauplii Calanoida","Trichocerca similis","0.053","0.793","0.976"
"Thermocyclops oithonoides","Trichocerca similis","0.0438","0.828","0.976"
"Eurytemora lacustris","Trichocerca similis","-0.269","0.174","0.58"
"Anureopsis fissa","Trichocerca similis","-0.153","0.446","0.828"
"Ascomorpha saltans","Trichocerca similis","0.204","0.308","0.741"
"Asplanchna priodonta","Trichocerca similis","0.464","0.0147","0.143"
"Brachionus angularis","Trichocerca similis","-0.125","0.533","0.879"
"Brachionus calyciflorus calyciflorus","Trichocerca similis","0.235","0.239","0.681"
"Brachionus calyciflorus f.amphiceros","Trichocerca similis","-0.118","0.557","0.892"
"Brachionus calyciflorus spinosus","Trichocerca similis","-0.0601","0.766","0.966"
"Brachionus urceolaris","Trichocerca similis","-0.672","0.000125","0.00573"
"Brachionus calyciflorus f.anureiformis","Trichocerca similis","0.306","0.121","0.49"
"Filinia longiseta","Trichocerca similis","-0.237","0.233","0.674"
"Keratella cochlearis cochlearis","Trichocerca similis","-0.14","0.486","0.85"
"Keratella cochlearis f.tecta","Trichocerca similis","-0.015","0.941","0.998"
"Keratella quadrata","Trichocerca similis","0.334","0.0886","0.421"
"Pedalia mira","Trichocerca similis","-0.453","0.0178","0.165"
"Polyarthra vulgaris","Trichocerca similis","0.22","0.27","0.707"
"Polyarthra platyptera","Trichocerca similis","0.436","0.0228","0.192"
"Pompholyx sp.","Trichocerca similis","0.0558","0.782","0.976"
"Synchaeta sp.","Trichocerca similis","0.091","0.652","0.919"
"Trichocerca pusilla","Trichocerca similis","0.221","0.267","0.706"
